,loc,v(g),ev(g),iv(g),n,v,l,d,i,e,b,t,lOCode,lOComment,lOBlank,lOCodeAndComment,uniq_Op,uniq_Opnd,total_Op,total_Opnd,branchCount,defects
0,1.1,1.4,1.4,1.4,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,2.0,2.0,2.0,2.0,1.2,1.2,1.2,1.2,1.4,False
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True
2,24.0,5.0,1.0,3.0,63.0,309.13,0.11,9.5,32.54,2936.77,0.1,163.15,1.0,0.0,6.0,0.0,15.0,15.0,44.0,19.0,9.0,False
3,20.0,4.0,4.0,2.0,47.0,215.49,0.06,16.0,13.47,3447.89,0.07,191.55,0.0,0.0,3.0,0.0,16.0,8.0,31.0,16.0,7.0,False
4,24.0,6.0,6.0,2.0,72.0,346.13,0.06,17.33,19.97,5999.58,0.12,333.31,0.0,0.0,3.0,0.0,16.0,12.0,46.0,26.0,11.0,False
5,24.0,6.0,6.0,2.0,72.0,346.13,0.06,17.33,19.97,5999.58,0.12,333.31,0.0,0.0,3.0,0.0,16.0,12.0,46.0,26.0,11.0,False
6,7.0,1.0,1.0,1.0,11.0,34.87,0.5,2.0,17.43,69.74,0.01,3.87,0.0,0.0,1.0,0.0,4.0,5.0,6.0,5.0,1.0,False
7,12.0,2.0,1.0,2.0,23.0,94.01,0.16,6.43,14.62,604.36,0.03,33.58,0.0,0.0,7.0,0.0,10.0,7.0,14.0,9.0,3.0,False
8,25.0,5.0,5.0,5.0,107.0,548.83,0.07,14.25,38.51,7820.87,0.18,434.49,12.0,16.0,13.0,0.0,15.0,20.0,69.0,38.0,9.0,False
9,46.0,15.0,3.0,1.0,239.0,1362.41,0.04,22.3,61.1,30377.95,0.45,1687.66,8.0,35.0,22.0,0.0,15.0,37.0,129.0,110.0,29.0,False
10,34.0,5.0,5.0,1.0,155.0,856.15,0.05,20.76,41.24,17773.08,0.29,987.39,11.0,28.0,16.0,0.0,19.0,27.0,96.0,59.0,9.0,False
11,10.0,2.0,1.0,1.0,35.0,143.06,0.11,9.0,15.9,1287.55,0.05,71.53,2.0,4.0,4.0,0.0,9.0,8.0,19.0,16.0,3.0,False
12,23.0,7.0,5.0,1.0,157.0,770.38,0.04,28.12,27.4,21659.58,0.26,1203.31,10.0,17.0,23.0,0.0,17.0,13.0,114.0,43.0,13.0,False
13,23.0,7.0,5.0,1.0,105.0,474.97,0.04,27.22,17.45,12929.85,0.16,718.32,10.0,17.0,23.0,0.0,14.0,9.0,70.0,35.0,13.0,False
14,31.0,5.0,1.0,2.0,231.0,1303.73,0.04,27.5,47.41,35852.6,0.43,1991.81,2.0,15.0,40.0,0.0,22.0,28.0,161.0,70.0,9.0,False
15,24.0,5.0,1.0,2.0,120.0,655.13,0.07,15.2,43.1,9958.0,0.22,553.22,3.0,20.0,23.0,0.0,19.0,25.0,80.0,40.0,9.0,False
16,13.0,2.0,1.0,1.0,57.0,271.03,0.11,9.15,29.61,2480.95,0.09,137.83,6.0,5.0,8.0,0.0,14.0,13.0,40.0,17.0,3.0,False
17,6.0,1.0,1.0,1.0,15.0,55.51,0.25,4.0,13.88,222.03,0.02,12.33,1.0,1.0,2.0,0.0,8.0,5.0,10.0,5.0,1.0,False
18,33.0,2.0,1.0,2.0,135.0,745.68,0.09,11.65,64.01,8684.99,0.25,482.5,2.0,0.0,19.0,0.0,12.0,34.0,69.0,66.0,3.0,False
19,6.0,1.0,1.0,1.0,15.0,55.51,0.25,4.0,13.88,222.03,0.02,12.33,1.0,1.0,0.0,0.0,8.0,5.0,10.0,5.0,1.0,False
20,7.0,2.0,1.0,1.0,27.0,105.49,0.08,12.0,8.79,1265.83,0.04,70.32,0.0,0.0,1.0,0.0,10.0,5.0,15.0,12.0,3.0,False
21,3.0,1.0,1.0,1.0,14.0,48.43,0.23,4.38,11.07,211.89,0.02,11.77,0.0,0.0,0.0,0.0,7.0,4.0,9.0,5.0,1.0,False
22,7.0,1.0,1.0,1.0,29.0,110.41,0.21,4.88,22.65,538.26,0.04,29.9,0.0,0.0,0.0,0.0,6.0,8.0,16.0,13.0,1.0,False
23,9.0,3.0,1.0,1.0,41.0,170.97,0.07,14.14,12.09,2417.96,0.06,134.33,0.0,0.0,1.0,0.0,11.0,7.0,23.0,18.0,5.0,False
24,11.0,3.0,1.0,1.0,49.0,215.22,0.07,14.67,14.67,3156.61,0.07,175.37,0.0,0.0,1.0,0.0,12.0,9.0,27.0,22.0,5.0,False
25,4.0,1.0,1.0,1.0,13.0,39.0,0.33,3.0,13.0,117.0,0.01,6.5,0.0,0.0,0.0,0.0,4.0,4.0,7.0,6.0,1.0,False
26,3.0,1.0,1.0,1.0,7.0,19.65,0.4,2.5,7.86,49.13,0.01,2.73,0.0,0.0,0.0,0.0,5.0,2.0,5.0,2.0,1.0,False
27,16.0,4.0,1.0,1.0,77.0,370.17,0.05,19.62,18.87,7260.95,0.12,403.39,11.0,30.0,7.0,0.0,15.0,13.0,43.0,34.0,7.0,False
28,65.0,12.0,1.0,1.0,541.0,3327.01,0.02,42.02,79.18,139798.54,1.11,7766.59,5.0,95.0,33.0,0.0,19.0,52.0,311.0,230.0,23.0,False
29,177.0,41.0,6.0,23.0,767.0,5580.79,0.02,54.82,101.81,305928.62,1.86,16996.03,63.0,31.0,134.0,0.0,45.0,110.0,499.0,268.0,60.0,False
30,14.0,5.0,1.0,3.0,41.0,185.47,0.07,15.0,12.36,2781.99,0.06,154.56,4.0,5.0,9.0,0.0,15.0,8.0,25.0,16.0,8.0,False
31,361.0,70.0,27.0,46.0,1844.0,15345.64,0.01,97.73,157.03,1499684.32,5.12,83315.8,37.0,191.0,164.0,0.0,69.0,251.0,1133.0,711.0,110.0,False
32,76.0,13.0,7.0,10.0,298.0,1948.67,0.03,32.21,60.5,62767.66,0.65,3487.09,3.0,48.0,27.0,0.0,36.0,57.0,196.0,102.0,24.0,False
33,31.0,1.0,1.0,1.0,461.0,2653.0,0.04,22.83,116.21,60566.12,0.88,3364.78,0.0,10.0,4.0,0.0,13.0,41.0,317.0,144.0,1.0,False
34,20.0,3.0,1.0,3.0,71.0,351.75,0.1,10.29,34.17,3620.93,0.12,201.16,0.0,0.0,5.0,0.0,14.0,17.0,46.0,25.0,5.0,False
35,27.0,5.0,3.0,3.0,108.0,540.0,0.05,21.86,24.71,11802.86,0.18,655.71,4.0,5.0,7.0,0.0,18.0,14.0,74.0,34.0,9.0,False
36,15.0,3.0,1.0,3.0,52.0,260.0,0.14,7.18,36.19,1867.89,0.09,103.77,2.0,24.0,16.0,0.0,13.0,19.0,31.0,21.0,5.0,False
37,13.0,4.0,1.0,4.0,59.0,295.0,0.09,11.03,26.75,3253.68,0.1,180.76,3.0,8.0,15.0,0.0,15.0,17.0,34.0,25.0,7.0,False
38,32.0,6.0,1.0,6.0,123.0,686.95,0.08,12.89,53.31,8852.8,0.23,491.82,5.0,44.0,42.0,0.0,17.0,31.0,76.0,47.0,11.0,False
39,25.0,3.0,1.0,3.0,120.0,684.05,0.07,14.11,48.49,9649.29,0.23,536.07,2.0,16.0,19.0,0.0,19.0,33.0,71.0,49.0,5.0,False
40,22.0,4.0,4.0,4.0,75.0,381.56,0.07,13.42,28.43,5120.93,0.13,284.5,5.0,10.0,19.0,0.0,15.0,19.0,41.0,34.0,7.0,False
41,28.0,6.0,1.0,4.0,128.0,707.02,0.04,23.1,30.61,16332.07,0.24,907.34,5.0,19.0,15.0,0.0,21.0,25.0,73.0,55.0,11.0,False
42,18.0,2.0,1.0,2.0,122.0,625.77,0.04,24.42,25.62,15282.02,0.21,849.0,3.0,18.0,13.0,0.0,16.0,19.0,64.0,58.0,3.0,False
