,loc,v(g),ev(g),iv(g),defects
0,1,1,1,1,0
1,1,1,1,1,1
2,24,5,1,3,0
3,20,4,4,2,0
4,24,6,6,2,0
5,24,6,6,2,0
6,7,1,1,1,0
7,12,2,1,2,0
8,25,5,5,5,0
9,46,15,3,1,0
10,34,5,5,1,0
11,10,2,1,1,0
12,23,7,5,1,0
13,23,7,5,1,0
14,31,5,1,2,0
15,24,5,1,2,0
16,13,2,1,1,0
17,6,1,1,1,0
18,33,2,1,2,0
19,6,1,1,1,0
20,7,2,1,1,0
21,3,1,1,1,0
22,7,1,1,1,0
23,9,3,1,1,0
24,11,3,1,1,0
25,4,1,1,1,0
26,3,1,1,1,0
27,16,4,1,1,0
28,65,12,1,1,0
29,177,41,6,23,0
30,14,5,1,3,0
31,361,70,27,46,0
32,76,13,7,10,0
33,31,1,1,1,0
34,20,3,1,3,0
35,27,5,3,3,0
36,15,3,1,3,0
37,13,4,1,4,0
38,32,6,1,6,0
39,25,3,1,3,0
40,22,4,4,4,0
41,28,6,1,4,0
42,18,2,1,2,0
43,24,5,1,3,0
44,62,9,4,6,0
45,65,12,3,8,0
46,8,1,1,1,0
47,18,4,1,4,0
48,6,1,1,1,0
49,48,7,1,7,0
50,127,10,1,10,0
51,21,4,1,4,0
52,32,2,1,2,0
53,41,6,1,5,0
54,23,5,1,5,0
55,8,2,1,1,0
56,25,4,1,1,0
57,8,2,1,1,0
58,17,3,1,3,0
59,38,5,1,5,0
60,31,5,5,5,0
61,21,4,1,3,0
62,21,4,1,3,0
63,14,2,1,1,0
64,6,1,1,1,0
65,29,5,1,2,0
66,18,3,1,1,0
67,55,11,5,8,0
68,47,3,1,1,0
69,32,6,4,2,0
70,32,3,1,1,0
71,38,4,1,1,0
72,14,2,1,1,0
73,60,5,1,5,0
74,10,1,1,1,0
75,16,3,1,3,0
76,12,2,1,2,0
77,13,2,1,1,0
78,16,2,1,2,0
79,27,4,3,3,0
80,31,5,4,4,0
81,10,1,1,1,0
82,37,5,1,3,0
83,8,1,1,1,0
84,8,1,1,1,0
85,9,1,1,1,0
86,9,1,1,1,0
87,7,1,1,1,0
88,26,4,3,2,0
89,7,1,1,1,0
90,14,1,1,1,0
91,9,1,1,1,0
92,11,1,1,1,0
93,34,6,1,3,0
94,7,1,1,1,0
95,31,7,1,5,0
96,8,1,1,1,0
97,6,1,1,1,0
98,7,1,1,1,0
99,15,2,1,1,0
100,16,1,1,1,0
101,19,1,1,1,0
102,130,29,7,27,0
103,30,4,1,4,0
104,34,6,1,6,0
105,20,6,6,2,0
106,17,2,1,1,0
107,17,2,1,1,0
108,26,8,8,1,0
109,10,1,1,1,0
110,6,1,1,1,0
111,8,1,1,1,0
112,93,17,7,6,0
113,128,25,12,9,0
114,28,3,1,3,0
115,19,2,1,2,0
116,19,2,1,2,0
117,21,3,1,3,0
118,154,17,10,13,0
119,125,18,1,13,0
120,14,2,1,1,0
121,127,30,8,5,0
122,12,1,1,1,0
123,18,2,1,2,0
124,20,3,1,3,0
125,36,4,1,4,0
126,160,32,7,20,0
127,47,10,9,7,0
128,6,1,1,1,0
129,6,1,1,1,0
130,38,4,3,1,0
131,6,1,1,1,0
132,12,1,1,1,0
133,12,1,1,1,0
134,9,1,1,1,0
135,41,2,1,2,0
136,30,2,1,2,0
137,6,1,1,1,0
138,20,5,1,1,0
139,149,15,11,6,0
140,6,1,1,1,0
141,16,3,1,2,0
142,15,1,1,1,0
143,13,1,1,1,0
144,6,1,1,1,0
145,14,2,1,1,0
146,14,2,1,1,0
147,27,3,1,1,0
148,19,2,1,2,0
149,21,2,1,2,0
150,6,1,1,1,0
151,16,3,3,2,0
152,55,9,1,3,0
153,6,1,1,1,0
154,9,1,1,1,0
155,12,1,1,1,0
156,12,1,1,1,0
157,69,19,19,13,0
158,138,25,1,24,0
159,6,1,1,1,0
160,6,1,1,1,0
161,72,16,9,7,0
162,6,1,1,1,0
